date,title,topics,pdf,rmd,html,chapter,video,lab_video,reading,data,instructor,hw,hw_solution,hw_topics,hw_date
23.09.21,Introduction ,,,,,,,,,,,,,,
30.09.21,Your Computer as research tool,,,,,,,,,,,,,,
07.10.21,Introduction into R II,,,,,,,,,,,,,,
14.10.21,Data Bases I,,,,,,,,,,,,,,
21.10.21,Data Bases II,,,,,,,,,,,,,,
28.10.21,Visualisation I,,,,,,,,,,,,,,
04.11.21,Visualisation II,,,,,,,,,,,,,,
11.11.21,Basic Statistics,,,,,,,,,,,,,,
18.11.21,GIS I,,,,,,,,,,,,,,
25.11.21,GIS II,,,,,,,,,,,,,,
02.12.21,14C Calibration I,,,,,,,,,,,,,,
09.12.21,14C Calibration II,,,,,,,,,,,,,,
16.12.21,Digital Documentation,,,,,,,,,,,,,,
23.12.21,Project Presentations,,,,,,,,,,,,,,
